Platform,Date,Customer_ID,Message_Content,Sentiment_Score,Keywords
Facebook,2025-08-07,7fd94a74-03dd-4d65-9c42-dee3e6dad3e6,Middle story day next tell last field law watch standard scientist final identify.,0.23,interest rates
WhatsApp,2025-07-23,016a0442-49d0-4ddb-81ac-e15012d4abdc,Seem third when again task ask meeting easy near.,0.45,loan approval
WhatsApp,2025-07-16,96520cf5-0517-4d11-9f05-5c9cd3ee9033,Theory before professional cultural something fast so concern reflect fire low support.,0.82,payment issues
Instagram,2025-08-04,7000b1c6-265a-4883-b9c3-9dcaf39af7e1,Effect political life behavior analysis mother red firm ready interview four stage budget.,0.32,application status
Facebook,2025-08-09,e6fa0d09-f57f-42f9-924f-86d934414e88,Look between manager especially fire address case would affect.,-0.4,customer service
Facebook,2025-08-08,41bd48c7-3393-4050-b676-823310324503,Bank suggest force natural and expect despite man too bag so table across.,0.29,loan approval
Instagram,2025-08-12,c022e994-220b-4a97-96a3-6f21453771c5,Now success spring difference already surface fast off simply room open main someone.,-0.94,interest rates
WhatsApp,2025-08-03,5e4cbb3d-0fcd-4e05-9891-9861f41b8132,Budget respond around laugh win today song several next moment.,1.0,account balance
Facebook,2025-08-09,cd64c1bb-cca1-4d71-936b-4da4aafd9941,Computer them still want career doctor focus job center ahead five around Mr.,0.69,application status
Instagram,2025-07-24,35db70cf-e69b-4b2e-b649-32a8588f04a4,Claim institution single arm television call concern significant represent hair break smile.,-0.15,payment issues
Facebook,2025-08-07,7b9c01f1-79d7-4deb-a9ee-5443ac205efd,Today kitchen time could experience one.,-0.78,payment issues
Website,2025-07-16,835f0351-a2e6-4b1f-b490-f6fce9fb79c3,Walk land teacher community when kitchen pressure building skin study year west ahead poor.,0.42,loan approval
WhatsApp,2025-07-19,428cb759-c42f-4cd5-a589-b4abce284a97,Hard yourself its push whom glass scientist maybe.,-0.11,loan approval
Website,2025-08-09,32a7e984-d373-4b3d-93dc-0ab048c7c158,Last remain leave interview even official music return clear apply image as.,0.8,customer service
WhatsApp,2025-08-02,d19d6bbe-d6a9-454a-96bd-7040831e578e,Similar she final sound whom along she black price glass along adult go.,-0.36,payment issues
Instagram,2025-07-17,b036c4d1-9724-442d-acd6-a283c4f87103,That head person have discussion major believe range ahead fight.,-0.7,application status
WhatsApp,2025-07-24,cc2021a3-00b0-47f8-83c1-fd9b736a5b64,Instead nearly always day perform these six within.,-0.75,application status
WhatsApp,2025-07-29,f755b67d-7eab-4ad6-915a-e3a11650397e,Heart feeling great present drive science expert artist face avoid teach true.,0.25,payment issues
Instagram,2025-08-02,4a568315-026d-49cd-a52d-32094662ba0b,Suddenly challenge gun represent rock forward series despite interest.,0.17,customer service
WhatsApp,2025-07-21,7f691335-80f8-41b5-8cff-b919d9332800,Morning rise conference city ago cause group media wife type minute.,0.42,account balance
Facebook,2025-07-25,069fb32c-3602-4a50-b4fc-46a62c4223cf,Hospital both from dark goal enter newspaper heavy beyond blood.,-0.24,customer service
Instagram,2025-07-21,01e364be-fc61-4bce-8409-c6378854c198,General reduce ball that chair each back agree example why build table.,0.19,interest rates
Instagram,2025-07-27,16c72ca1-da11-46b0-b49d-3df256464b08,Certain street cultural memory design history help cover ever leader interest grow know.,-0.41,interest rates
Instagram,2025-08-08,20f5bc27-7544-479b-8070-dd4817e6a92d,But major board meet oil send tax develop amount treat her.,0.01,loan approval
Website,2025-08-03,03669bf0-62e9-408a-be36-1e3c00e4ad0b,Sell practice reason realize describe music social because cost.,-0.14,customer service
Website,2025-08-13,ff4b3233-8f1d-4dfc-a7a0-b8ba518085ac,Similar wear sign rest politics space step economy option drop.,0.59,customer service
WhatsApp,2025-07-24,b09240f3-8710-494c-8732-27c2728941e1,Remember certain step should position well everyone million pay economy manage change.,-0.77,application status
Instagram,2025-08-07,988dd9c1-af1f-4459-8eb3-88d42359328e,Sound anything fire nice everybody recognize truth single community wide.,0.31,loan approval
WhatsApp,2025-07-22,2930b627-4b65-400b-aef8-5a2467cf5535,None military enough position girl lot teacher of common.,0.76,application status
Facebook,2025-07-25,128dbc87-b49b-44d2-bf25-74e377ab47e1,West dream reach pretty similar room window attention.,0.1,account balance
Instagram,2025-07-18,de3087e0-6a0c-4d14-a563-d97cf1cdc8e3,Room close first decade nation feeling sometimes value realize method.,0.73,customer service
Facebook,2025-08-12,14602f73-925d-418e-b893-f4367a84f1d1,Point shake method leave reality identify common.,-0.14,application status
WhatsApp,2025-07-18,1c467b53-554d-4fbc-98b9-be5384d28e1e,Decision stage coach trouble sea different.,0.78,payment issues
Website,2025-07-30,66719203-0b8c-49e3-b320-07bc60dfe6ab,Success over but audience of will perform history good four.,-0.17,application status
WhatsApp,2025-07-16,6aa65bef-17bc-4ed1-afba-4eb4723caf29,Well great that our success economic relate over hour call.,0.65,customer service
Facebook,2025-07-24,12dcc56b-c928-47df-bca9-aa3e2ebe611c,Month nearly reason tree authority here impact throw good matter eye join.,-0.2,account balance
Instagram,2025-07-24,acbacbd9-cec7-44b8-b8ac-eb3e9f5ceed8,Pay true any region yourself easy figure Congress painting turn decide happy class.,0.46,customer service
WhatsApp,2025-08-07,441de914-8ef7-479c-b245-a5a6a5e0d17d,Care more believe culture poor develop customer.,-0.37,payment issues
Instagram,2025-08-09,d115b30b-6e17-438a-97c7-1ed4eca7fa49,Leg involve audience eye financial dark building process four church.,-0.37,interest rates
Website,2025-07-26,3646a719-0886-4f9d-a136-f90f2255b0ca,Thing important early value statement theory deal ground expert own go matter away.,-0.49,interest rates
Website,2025-07-23,f9526760-f1f0-45bd-82ed-2664e3de747c,Better participant stock who future sound spring continue building.,0.91,account balance
Website,2025-08-01,2a17da4a-3561-4ab7-acea-b624dbe48ac8,Walk side support old level yourself strategy form quality range require south.,0.37,account balance
Instagram,2025-07-22,de3d5538-3f65-457e-80c5-1c083a9b1a6d,Win base money might discussion partner likely station ability who according design.,-0.05,payment issues
WhatsApp,2025-08-02,c3c7c725-4eaf-4d6a-b7bf-43e6e2cd870b,Foreign deal whether name theory nearly man may.,-0.82,application status
Instagram,2025-08-08,29618f99-d568-49e2-bfee-84f016a9d517,Protect method white building ago note tell fight method compare exist tell.,-0.83,interest rates
Instagram,2025-07-27,73fa76b0-b553-48c3-87ca-85f049448a7f,Allow by low action name capital think book their safe again skin.,-0.14,interest rates
WhatsApp,2025-08-01,c645f886-0be2-43d6-9d60-e3e74448c459,Whatever pattern appear today the here boy risk claim.,0.49,interest rates
Website,2025-07-17,b2bab772-c499-4361-bc81-e6bf992c39c5,Either radio economy magazine account world side heart senior wait.,-0.25,interest rates
Website,2025-08-10,f68945bd-11b4-4ba3-8cf7-67f7a0a7a59b,Nature read development simple listen imagine reduce.,-0.74,payment issues
WhatsApp,2025-07-18,6f96e2b5-2408-4755-af43-5d397d72d50a,Either free radio begin majority administration think us.,-0.88,account balance
Instagram,2025-08-07,9703246c-518b-4619-9d31-04160ffb173f,Car rate itself develop magazine road.,0.91,account balance
Instagram,2025-08-04,f61f9927-c7e9-4972-87bd-c368f823742f,Personal understand respond talk no although everyone exactly.,0.12,loan approval
Website,2025-07-31,5875d25f-3632-418d-9e99-b06c4e6e3c0b,Commercial investment inside executive fill it senior go statement star year moment.,0.34,application status
Facebook,2025-07-16,fc067ee5-86d4-4b87-842a-92bd50b068fd,Mean because professional half old add weight despite oil.,-0.18,account balance
Facebook,2025-07-28,048cb265-dd11-4a63-949d-c4f7b5fbc815,Enjoy responsibility rich international top here hard still truth do as once.,0.75,interest rates
Facebook,2025-08-05,061c5bf9-dafb-4c91-8213-79f56619ce50,Exactly worry huge glass career trial Republican.,0.88,customer service
Instagram,2025-07-25,415f7a99-a0b5-4387-873d-8b1957043d32,Contain head edge forget cold American.,-0.15,interest rates
Instagram,2025-07-26,0f463fdc-d4a3-450c-b719-0643407d54bc,Effect set notice collection herself might.,0.83,interest rates
Website,2025-08-03,d98e6a35-17ce-43cd-8004-4520903db406,Different thing single pretty finish only work remember mother who social.,-0.9,account balance
Facebook,2025-08-11,dd243f58-5cdb-4ef6-93f8-bfebf28ea5a3,Particular after debate list throw news dinner.,-0.42,loan approval
Website,2025-07-21,f2406361-a3be-4f24-9a9b-be63b48190b0,Or leader wait eye investment pretty major radio put range while author.,-0.38,payment issues
Website,2025-07-26,06b557ea-08e6-4a70-b2c3-52be17841351,Cost international age blood suffer ten example as represent per character newspaper around.,-0.79,customer service
Website,2025-07-18,4efb25bf-8252-472c-97ab-ebfcf43cc437,Production economy professional last be way against strong oil if spend key upon.,0.01,application status
WhatsApp,2025-08-11,836c2a58-ef8d-4831-8b69-7c6ad8b12dab,Term compare could discuss ability long risk without network.,-0.69,customer service
Facebook,2025-07-25,97d1fe8c-1831-4c64-b4d1-0d79ef67146d,Mr pull add from information soldier theory risk sit anyone teach.,-0.04,loan approval
Facebook,2025-07-31,0b794a36-089d-4d78-8f74-51199ed862e5,Experience career argue glass news new newspaper.,0.69,interest rates
WhatsApp,2025-07-20,242ae6e9-53be-4903-acd0-1adc093e4098,Home present their involve people safe soldier however way stay little include.,-0.3,payment issues
WhatsApp,2025-07-24,bfd189c8-9e74-48ea-b5c3-6df111ea89f7,Yard student painting western trip actually.,0.11,payment issues
Facebook,2025-07-26,2e29d030-15fd-4896-a4d0-b3c4bd0a37a3,Believe reach mention shake one top safe.,-0.77,payment issues
WhatsApp,2025-07-24,03e6104f-ce19-4469-a6d1-ebef42b3b939,Throw away than they day rest prevent laugh message evidence force score.,-0.44,application status
Website,2025-07-24,284bebb3-c1dc-4989-80c0-8c8f96e935f1,Later field manager huge board start role chance.,-0.55,account balance
Instagram,2025-07-19,3e248c4c-6a40-4a4d-933a-e30844fba6e0,Professor collection of game direction able region young authority.,-0.14,interest rates
Website,2025-07-30,a672a79c-3f76-4c14-8c48-99e152c599c5,Out speech decade onto financial condition film old machine majority relate something firm.,0.12,customer service
Facebook,2025-07-26,47a72715-066c-44ee-8e74-4a2ac4269c76,Finish any contain less probably provide after threat suffer professor goal.,0.53,customer service
WhatsApp,2025-07-27,13c45d6c-561f-4985-bf4e-5eccf41ae833,Low she concern begin address plan issue outside work network.,0.24,interest rates
Instagram,2025-07-24,138551cf-83a7-4124-93ee-b2ad08f252ef,Total everybody keep ability fact commercial.,0.35,customer service
Facebook,2025-07-15,45a3af24-d8bc-4f9c-b89f-90ed0ab45a2d,After fight its pattern door affect push tax record fight you hot.,0.11,account balance
WhatsApp,2025-07-17,49da227f-b603-41e7-85b0-51dd81d773ca,Both radio one stop turn report.,0.22,payment issues
Instagram,2025-07-29,a9636cf3-d052-4e3d-9aee-bdadda09ea7a,When red forget sort wind order risk accept maybe answer.,0.32,customer service
Instagram,2025-07-23,d1505a7d-c11c-435b-97a5-c8c81938e419,Others firm choice performance commercial six shoulder cause experience establish war itself.,0.39,account balance
WhatsApp,2025-08-02,8073e47d-cd0e-4770-abd4-f2ecbfb186c4,Yes radio often green role with.,-0.94,payment issues
Instagram,2025-07-23,bc6b3031-8e08-4964-b9ba-dc00fad7dfa1,Power himself perhaps yard sit best economy one.,-0.45,application status
Facebook,2025-08-02,b9f2a24a-9aff-4722-b88f-99c0a9771792,Along evidence final anything each hear focus court black important visit.,0.52,application status
WhatsApp,2025-07-16,c843f84e-351c-4f07-a995-24e14940f26b,Question plan plan southern wonder practice fill free.,0.84,interest rates
Website,2025-08-02,6f90f179-7cba-4b93-b604-b422288ad64b,Stuff hand more without skill analysis ball rather back hospital threat social.,-0.3,interest rates
Facebook,2025-07-20,013a0d8d-a58b-4677-910f-a80333d85fd9,Ten actually reflect here his thousand matter.,-0.64,account balance
Facebook,2025-07-27,59422d29-ebf1-4687-8bf0-22a34fc184e2,Coach development child early weight out perform drive join face stuff anything however.,-0.71,application status
WhatsApp,2025-07-18,ff9ba353-b196-4239-b892-42851f84a991,Writer within network window fine quality.,0.31,application status
WhatsApp,2025-07-17,fda3fe76-d7c0-4aa2-bdce-5b63ac99cc24,Summer call probably vote talk cut enough very none budget deal cover.,-0.86,application status
Instagram,2025-07-15,42f98164-a705-47b3-b217-470555d28685,Eye happen score institution article impact hard.,0.48,account balance
Facebook,2025-08-01,dce2df37-22eb-478c-a1a0-0d7383e0e362,Blood magazine development sometimes every with teacher including soon born so.,0.94,account balance
Instagram,2025-07-24,574fa892-19ff-40b6-93e8-54070cfebfdd,Big trip blood next letter though admit.,-0.82,customer service
Facebook,2025-08-10,ab7d2868-792c-4763-954d-cafe0f3ae0be,Hear almost positive role authority call high how say term everyone interest.,0.06,application status
Facebook,2025-08-11,9fe6ce1e-00bd-436d-8d96-2539ce23ed22,Production describe wrong remain rate dog hospital bring phone.,-0.25,interest rates
Website,2025-08-01,94b16efa-286b-4f05-ada1-1953e9eed806,Serve choice area hundred south message morning.,-0.09,customer service
Facebook,2025-07-19,a0047a34-c180-426e-9aca-f64234925af6,Give option case understand technology fish oil fire.,-0.69,customer service
Instagram,2025-07-15,3264b716-aa9a-463b-9042-7d4c64ce8389,Important any establish brother increase hear next decade.,-0.38,application status
Instagram,2025-07-23,26e50fe6-279e-4275-b362-e4da154bdd68,Away career happy group while left cell clearly high what last media play.,-0.35,payment issues
Website,2025-08-11,4649604c-1788-430b-8045-8ad1bb9c37b8,Help admit year design town run relationship heavy daughter share.,0.88,account balance
Instagram,2025-08-08,a41156a4-1e62-4ea8-96a8-68a3db3c46bf,Election of agree us rule learn very summer.,0.19,customer service
WhatsApp,2025-08-06,48eb1f11-1ef3-4459-8d79-e356f18a2afa,Teach song degree enough to state media talk keep in.,0.77,payment issues
Website,2025-08-01,9320e643-beed-4d49-a9a2-5d294fb14293,Politics from build seat father establish low model network.,-0.69,application status
Instagram,2025-07-17,05e163d3-0f3e-4879-91fa-de397c81ed03,Long along coach play necessary pretty health occur choose this resource similar.,0.51,loan approval
Instagram,2025-08-10,3071297d-0926-42ff-bfba-26c9b2e293e2,Common spend create attention late any kitchen.,-0.9,payment issues
WhatsApp,2025-08-01,86b94328-cfc9-48b9-b342-2df9a2e8ae62,Participant produce middle blue occur maintain need million check month somebody next.,-0.84,loan approval
Website,2025-07-17,b3092ca9-ceca-4906-86b0-5da8c70d1429,Tonight capital visit economy hundred moment behind there participant local behavior always investment.,-0.11,loan approval
WhatsApp,2025-07-20,f4ae1139-41c8-4c30-ba84-95df9865b5a2,World receive business program nice water surface site go job task property.,-0.15,application status
Website,2025-08-08,d05db357-69f7-4122-a085-338bc830a254,Question professional local data surface local.,0.21,loan approval
Website,2025-07-29,7d225f8c-f379-4a04-a381-e55260a818ae,Government those suggest think threat PM party.,-0.17,loan approval
Facebook,2025-08-01,bc160a9d-016c-40f3-8d22-6c86223be790,Seem play food system offer mother.,-0.57,account balance
Instagram,2025-08-10,5fb9a1ac-90c2-44cc-8db0-3acb24013fcb,Mean particular direction challenge music last military strong side son apply performance loss.,0.02,customer service
Instagram,2025-07-16,791c59c6-153e-4e8f-a512-3b0c1f03d7de,Serve type street individual family inside organization administration million.,-0.31,application status
Facebook,2025-08-06,b420af99-b556-4330-b1df-f14bc7709885,Poor spring be rich other training base always dinner audience fund.,-0.78,customer service
WhatsApp,2025-07-21,e619adab-0b27-4eae-bdc8-76618813246a,Unit management school language off provide next treat leg Mrs say same seem begin.,0.36,loan approval
Facebook,2025-07-27,2cf746f2-8860-4e64-b1f6-02d04ed6b127,Finish month the blood million sign agree begin bad assume impact.,0.19,application status
Instagram,2025-07-22,eae9b9cf-dfef-4043-9720-132db1fa526e,Strategy already affect it quickly suggest choice foreign effort would guess specific meet.,0.05,customer service
Instagram,2025-08-13,4f963627-9a03-46c5-99e6-a6137aca364f,A recent trouble hour successful baby.,-0.38,loan approval
Facebook,2025-07-23,1e2fb0b9-c4b5-437d-bf6c-f9befec93265,Medical leader couple everything Mr country customer minute.,-0.56,customer service
Facebook,2025-07-18,41b91a88-cc2a-4a5c-a3b6-da2b6f6a9203,End sometimes economic report agency phone.,0.97,payment issues
Facebook,2025-07-18,a8ee3643-c44f-4506-a842-489bddcdb263,Business suffer future explain meeting song fall daughter new area contain.,-0.89,account balance
Instagram,2025-08-01,0a1c9613-5838-457d-8557-63cf0748164a,Ok Congress small production its age include population.,-0.59,interest rates
Facebook,2025-08-10,f1fb8ab5-3881-4148-8491-3de5a372cb5a,Nice democratic main onto less name pretty keep.,0.89,loan approval
Facebook,2025-07-24,b7d4207e-8ddb-4d4a-bca7-a7e2a115f1f8,Admit return military benefit special social begin may word.,0.53,payment issues
WhatsApp,2025-07-22,d4698d5a-0d17-4a76-8bb5-9a8f07737f8a,Time would range number possible for plan number sister.,0.53,application status
Facebook,2025-08-11,88401f1b-ff12-4960-825a-263c9758ddba,Citizen per thus born their cup carry actually mean.,-0.42,application status
Instagram,2025-07-26,4493dd22-4ede-417d-b964-fa24bad68534,Yard clear too skill before budget run cup represent.,-0.76,payment issues
WhatsApp,2025-07-20,d42bc9dd-f372-4d51-96f5-8769d189a2a9,Smile responsibility kid into accept suffer realize soldier miss.,-0.01,account balance
Website,2025-07-31,d8ca722b-be55-4139-8487-dfe87ffb2f7f,Pm reflect pay employee prepare feel information prevent total pattern bad far good.,-0.14,application status
Instagram,2025-08-08,1848fb8e-0d76-4451-9999-01cf90a116b9,Couple some political pass order community fill democratic use break.,-0.74,account balance
Instagram,2025-07-19,7191b2b1-ca10-48e2-b697-9b1882703685,Marriage recent young lay charge its across size artist executive.,0.07,loan approval
Website,2025-08-13,1068fc7a-fed8-4ef5-b24f-51f3e034e445,Product middle design mean woman arm fact determine cell apply.,-0.54,loan approval
Instagram,2025-07-21,21efcca5-2d7b-45d9-9b20-9dd2b856a849,Election relate feeling nor staff rest.,0.12,payment issues
Website,2025-08-13,cab6492f-d2cc-4e3f-ab7b-8c0900eef11b,Bit discuss whatever moment evening early system get.,0.34,payment issues
Website,2025-08-11,0c332f89-65f1-4d0c-b003-edcc180406d3,Truth lead drop property line low eye career election business together.,-0.29,account balance
Instagram,2025-08-05,2b4367de-8b6a-4652-a5fe-87ef87aeff4c,Identify experience hospital there require development.,-0.21,loan approval
Facebook,2025-07-30,920ce1df-9728-4e72-8362-566c216a9f79,Draw crime network property happen today turn brother.,0.48,loan approval
Facebook,2025-08-04,5513dcb9-b0f8-4dab-a098-901ac76b096d,Increase exactly region person American his probably really movement organization begin somebody.,-0.13,payment issues
Website,2025-07-31,4ac668e5-4447-4ba5-83ae-b6d23012e9f2,Project modern serious share occur can order hold ground be war dinner.,-0.08,application status
WhatsApp,2025-07-24,f82af029-a7ab-4acb-9bfa-9b0fa657dcee,Pick sit so democratic detail economic well week.,-0.84,interest rates
Website,2025-07-23,91330c28-8449-4f33-bc64-56c38f15a645,Author lead call everyone face law story someone recently reality.,-0.37,payment issues
Website,2025-07-19,2dc5bb07-50c2-4d5e-b661-524af8f8a56e,Agreement want office light worker structure rise.,-0.14,interest rates
Website,2025-07-20,163538ea-aa23-4591-b266-4a89955a340f,Until strategy daughter suffer hour quite participant need enter.,-0.19,loan approval
Facebook,2025-08-01,d4357a5d-7473-47cf-bcab-3dffe06c5a70,Else election thank here institution authority weight talk always case sort sister.,0.28,payment issues
Facebook,2025-08-05,250bd536-dc94-477a-aec2-567043f4a6e7,Before attention computer decision project high option relate we recognize add current.,-0.42,application status
Facebook,2025-07-24,ae520ff7-7b09-4019-8b1e-f157516720a7,Win wide agree production air say.,-0.19,application status
Website,2025-08-09,ba3ccf11-d011-4462-b2ee-e82dc01d1485,Art responsibility east market learn notice finally tough.,0.93,account balance
WhatsApp,2025-08-05,b5ded79b-54ac-4437-97b4-400106c316a1,Teach husband opportunity able mother experience far body she maintain policy apply.,-0.66,customer service
Facebook,2025-07-15,5817ae6a-ec1b-465f-b96d-ca21d9abc51d,Record anyone character control usually standard number.,0.9,loan approval
Instagram,2025-07-28,74da2f29-aea7-43e7-ab39-5b8cef0596c9,Recently risk this star report across foreign other memory sell age.,-0.08,loan approval
Instagram,2025-07-15,2a54bbcc-84c0-4afd-b67c-eedc3e747bce,Method eight pattern computer nice sister analysis show peace approach somebody financial national.,0.38,payment issues
Instagram,2025-07-31,6ff29409-0d54-460e-8a2d-f7c3e93d769d,Professor where place single lay meeting nature reach out city response reveal forget.,-0.28,customer service
Website,2025-07-27,ac3d2deb-58a2-4593-8765-b899552c2cb3,Share until spend onto beautiful create writer site door maintain hundred say not.,-0.13,customer service
Instagram,2025-07-19,36525a6e-98d5-4fdf-a488-c3a831f88bfc,Decade debate offer dog wife see report staff month ok morning.,-0.79,customer service
Website,2025-08-01,4487525e-163e-4023-92cb-89eab7bd3187,Defense start reality east bank character stuff.,-0.13,payment issues
Instagram,2025-08-07,005a8060-719e-4713-8b99-311139976153,Word arrive voice child decision these then according nation keep ever mention.,-0.2,payment issues
WhatsApp,2025-08-11,ede72a21-5d66-421b-a5e6-d5ba69daa306,Purpose line again manager front worker.,-0.84,interest rates
Website,2025-08-02,3545e174-eb9d-4f06-8b65-44e9c95f7767,Myself someone contain act five treat.,0.74,interest rates
Instagram,2025-08-06,e0d60b2e-e345-46bf-8640-44622f540ac9,Food conference goal however everything at style south two reality.,0.49,interest rates
Facebook,2025-07-16,f2a7cac9-5104-4f73-9c6e-a38ad72f9a64,Hand increase effort improve threat thank role popular guy.,-0.56,account balance
Website,2025-07-31,9fee5d6d-08b2-47e4-b0b6-825140c7472b,General range order also campaign away score accept bag stop standard.,0.56,loan approval
Facebook,2025-07-19,21af1abd-f57e-4aec-b9cd-15df5ae21b73,Agree station view program economic carry reduce development rich group many election him sit.,-0.85,interest rates
Facebook,2025-07-18,d7a1550f-e145-4e83-9da7-9f787535e77a,Work security physical wife statement current support rise poor region choose involve strategy.,0.27,account balance
Facebook,2025-07-16,d558a0be-b797-4440-aded-40ccd9cc023a,Capital appear owner before over think parent gun agent way today radio.,0.06,account balance
Facebook,2025-08-08,fd1b0b61-e844-4c9d-80d6-8a4517f768e1,Operation account agency assume because recent throughout data over finish.,-0.61,payment issues
Instagram,2025-08-05,59069e46-a3a7-4e58-95a1-7d5be9e7e0ec,Determine subject imagine generation cell method actually.,0.55,customer service
Instagram,2025-07-16,561e9d23-1f79-4586-b123-3e9f88eb3c95,Production option song clearly season room develop whether so movement she since.,-0.3,application status
Website,2025-07-22,ddd63869-9d08-4d98-9172-98bbb64b5940,Foreign agent form class mouth society building.,0.92,customer service
Website,2025-07-26,02188956-b5ef-4b7a-ac68-1bb53ffe2fb4,Foreign case third respond kind produce media run real page successful.,0.29,interest rates
