post_id,datetime,platform,country,language,topic,sentiment_polarity,sentiment_category,sentiment_intensity,emotion,engagement_likes,engagement_shares,engagement_comments,influencer_level,keywords,risk_flag
P00095,2025-07-12 23:14:10,Twitter,Mexico,Spanish,Interest Rates,0.54,Positive,Medium,Anger,3924,787,701,Medium,fast process,0
P00096,2025-04-12 20:14:28,Facebook,Botswana,Spanish,Mobile App,-0.01,Neutral,Low,Fear,2086,1091,72,Low,mobile app,0
P00097,2025-03-04 14:01:22,LinkedIn,Botswana,English,Mobile App,0.05,Neutral,Low,Anger,2007,1196,684,High,interest rate,1
P00098,2025-04-13 21:10:06,Twitter,Botswana,English,Savings Product,-0.14,Negative,Low,Surprise,800,558,546,Low,fraud,0
P00099,2025-04-10 23:40:53,Twitter,Botswana,Twi,Interest Rates,-0.95,Negative,High,Disgust,2779,260,721,High,hidden fees,0
P00100,2025-03-13 16:22:24,Facebook,Tanzania,Twi,Savings Product,-0.78,Negative,High,Surprise,4920,216,297,Medium,high interest,0
P00101,2025-06-11 03:14:33,TikTok,Zambia,Swahili,Savings Product,-0.94,Negative,High,Fear,755,1147,644,Medium,high interest,0
P00102,2025-03-24 20:12:24,Instagram,Mexico,Swahili,Repayment,0.27,Positive,Low,Surprise,1995,804,282,Medium,fast process,0
P00103,2025-06-17 06:43:10,LinkedIn,South Africa,Twi,Loan Application,-0.37,Negative,Medium,Disgust,1321,1185,504,High,bad service,0
P00104,2025-06-13 17:33:46,Instagram,Ghana,Twi,Interest Rates,0.02,Neutral,Low,Anticipation,2330,200,197,Medium,loan application,0
P00105,2025-06-06 20:03:49,Twitter,Ghana,Swahili,Repayment,0.82,Positive,High,Anticipation,109,401,31,Medium,loan approved,0
P00106,2025-02-14 20:45:35,TikTok,South Africa,Twi,Interest Rates,-0.5,Negative,Medium,Fear,1016,274,647,Medium,fraud,0
P00107,2025-05-30 06:45:22,Twitter,Ghana,Twi,Repayment,-0.18,Negative,Low,Anger,3865,205,759,High,fraud,0
P00108,2025-06-04 07:12:47,TikTok,South Africa,Swahili,Repayment,0.51,Positive,Medium,Anger,24,1063,340,High,helpful staff,0
P00109,2025-03-06 05:33:50,Facebook,Zambia,English,Repayment,-0.54,Negative,Medium,Fear,4938,866,657,Low,bad service,0
P00110,2025-05-15 17:16:20,Instagram,South Africa,Twi,Loan Application,-0.85,Negative,High,Disgust,2838,92,333,High,bad service,0
P00111,2025-06-22 13:58:37,Twitter,Botswana,Twi,Interest Rates,-0.42,Negative,Medium,Joy,737,1065,142,Low,hidden fees,1
P00112,2025-03-20 12:54:05,TikTok,Ghana,Twi,Interest Rates,-0.68,Negative,High,Fear,179,378,745,Low,bad service,0
P00113,2025-03-04 17:30:38,TikTok,Zambia,Swahili,Interest Rates,0.86,Positive,High,Surprise,231,1130,409,Low,loan approved,0
P00114,2025-05-01 18:17:19,Twitter,South Africa,English,Loan Application,0.62,Positive,Medium,Trust,1917,64,43,High,helpful staff,0
P00115,2025-04-15 16:23:25,Instagram,Ghana,Twi,Repayment,0.27,Positive,Low,Fear,342,364,31,High,loan approved,0
P00116,2025-03-25 10:02:52,Facebook,Tanzania,English,Interest Rates,0.74,Positive,High,Anticipation,4572,820,742,High,loan approved,0
P00117,2025-07-30 16:38:07,Facebook,Botswana,Spanish,Interest Rates,0.61,Positive,Medium,Trust,2623,1047,27,High,helpful staff,0
P00118,2025-06-05 06:36:54,LinkedIn,Ghana,Swahili,Loan Application,-0.63,Negative,Medium,Trust,454,539,422,High,high interest,0
P00119,2025-06-14 15:04:01,LinkedIn,Botswana,Spanish,Customer Support,0.79,Positive,High,Joy,4384,1085,490,Low,fast process,0
P00120,2025-05-20 03:34:26,LinkedIn,Ghana,Spanish,Interest Rates,0.08,Positive,Low,Fear,4625,490,159,Low,helpful staff,0
P00121,2025-03-15 15:28:51,Instagram,Tanzania,Twi,Interest Rates,0.61,Positive,Medium,Fear,2276,228,206,Medium,excellent service,0
P00122,2025-06-13 22:32:01,LinkedIn,Zambia,Swahili,Loan Application,0.79,Positive,High,Surprise,595,1043,17,Low,fast process,0
P00123,2025-04-04 23:16:01,LinkedIn,Botswana,English,Customer Support,-0.36,Negative,Medium,Sadness,3874,2,102,Medium,fraud,0
P00124,2025-07-14 15:58:28,Instagram,Zambia,Spanish,Customer Support,-0.78,Negative,High,Surprise,4530,910,581,Medium,bad service,0
P00125,2025-06-30 04:36:02,LinkedIn,Zambia,Swahili,Customer Support,-0.54,Negative,Medium,Trust,4977,306,630,High,slow approval,0
P00126,2025-07-01 16:25:18,Facebook,Colombia,Twi,Interest Rates,-0.15,Negative,Low,Surprise,4497,431,650,High,bad service,0
P00127,2025-02-11 20:41:23,Twitter,Ghana,Spanish,Repayment,0.64,Positive,Medium,Anticipation,2669,135,671,High,fast process,0
P00128,2025-03-17 11:26:28,Facebook,South Africa,English,Repayment,0.72,Positive,High,Fear,2135,514,231,Low,loan approved,0
P00129,2025-07-10 13:52:39,Facebook,Mexico,Spanish,Loan Application,-0.99,Negative,High,Anger,3964,192,659,High,high interest,0
P00130,2025-02-07 05:35:52,TikTok,Zambia,Swahili,Mobile App,0.02,Neutral,Low,Joy,1565,872,423,Low,loan application,1
P00131,2025-07-07 07:47:07,Twitter,Tanzania,English,Mobile App,-0.17,Negative,Low,Surprise,308,1141,754,Medium,bad service,0
P00132,2025-04-03 06:07:03,Facebook,Ghana,Twi,Repayment,-0.56,Negative,Medium,Fear,342,665,546,High,slow approval,0
P00133,2025-04-19 21:33:48,Twitter,Tanzania,Swahili,Repayment,-0.76,Negative,High,Sadness,435,208,238,High,high interest,0
P00134,2025-03-24 23:45:46,Facebook,Tanzania,Spanish,Repayment,-0.32,Negative,Low,Anticipation,176,951,333,Low,hidden fees,0
P00135,2025-02-13 20:27:40,Instagram,South Africa,Twi,Savings Product,0.89,Positive,High,Anticipation,138,1057,148,High,helpful staff,0
P00136,2025-03-13 23:15:04,Instagram,South Africa,Twi,Savings Product,-0.35,Negative,Medium,Joy,193,648,622,Low,fraud,0
P00137,2025-07-28 07:31:21,LinkedIn,Ghana,Twi,Loan Application,0.04,Neutral,Low,Joy,3257,119,407,Low,customer support,0
P00138,2025-05-22 03:15:02,Instagram,Ghana,Swahili,Interest Rates,0.41,Positive,Medium,Disgust,3235,626,16,Low,helpful staff,0
P00139,2025-07-21 04:10:08,Twitter,Botswana,Swahili,Repayment,-0.27,Negative,Low,Trust,942,524,225,High,high interest,0
P00140,2025-06-20 09:43:22,TikTok,Botswana,Twi,Interest Rates,0.94,Positive,High,Surprise,4620,768,651,High,fast process,0
P00141,2025-04-03 02:30:18,LinkedIn,Tanzania,Twi,Mobile App,0.92,Positive,High,Anticipation,3879,1112,655,High,loan approved,0
P00142,2025-03-14 06:54:41,Facebook,Tanzania,Spanish,Loan Application,-0.5,Negative,Medium,Joy,3113,511,259,High,high interest,0
P00143,2025-06-08 06:33:56,Instagram,Tanzania,English,Mobile App,-0.01,Neutral,Low,Trust,2962,46,728,Medium,repayment,1
P00144,2025-05-08 22:35:10,LinkedIn,South Africa,Twi,Savings Product,-0.4,Negative,Medium,Anger,4836,771,673,Medium,bad service,1
P00145,2025-04-18 19:46:41,Instagram,Zambia,English,Savings Product,-0.43,Negative,Medium,Sadness,4957,739,603,Low,high interest,0
P00146,2025-07-22 18:55:20,LinkedIn,Tanzania,Swahili,Interest Rates,-0.93,Negative,High,Sadness,953,521,173,High,hidden fees,0
P00147,2025-07-28 14:06:02,Twitter,Colombia,Swahili,Loan Application,0.22,Positive,Low,Surprise,1302,133,204,Medium,excellent service,0
P00148,2025-06-05 19:54:24,Twitter,Ghana,Twi,Savings Product,0.01,Neutral,Low,Anger,3381,247,414,High,interest rate,1
P00149,2025-05-01 02:24:16,Facebook,Ghana,Twi,Customer Support,-0.9,Negative,High,Sadness,2880,435,507,High,hidden fees,0
P00150,2025-02-28 17:49:47,LinkedIn,Mexico,English,Mobile App,-0.44,Negative,Medium,Surprise,2187,1199,152,Low,bad service,0
P00151,2025-03-24 10:25:51,TikTok,Colombia,English,Repayment,0.82,Positive,High,Fear,4887,685,102,Medium,excellent service,0
P00152,2025-02-28 02:43:28,Twitter,Zambia,Swahili,Savings Product,-0.52,Negative,Medium,Joy,545,585,713,Medium,bad service,0
P00153,2025-03-20 21:22:02,Facebook,Zambia,Spanish,Customer Support,-0.71,Negative,High,Surprise,1927,350,791,High,fraud,0
P00154,2025-06-25 15:54:01,LinkedIn,Tanzania,Swahili,Customer Support,-0.02,Neutral,Low,Fear,4152,142,64,Medium,customer support,0
P00155,2025-05-21 00:09:54,Facebook,South Africa,Spanish,Loan Application,0.97,Positive,High,Disgust,4,966,116,Medium,excellent service,0
P00156,2025-05-16 15:48:58,Twitter,Mexico,Twi,Loan Application,-0.52,Negative,Medium,Joy,3481,803,664,Medium,slow approval,0
P00157,2025-03-24 00:27:52,Facebook,South Africa,Spanish,Loan Application,0.34,Positive,Medium,Trust,3253,717,155,Medium,loan approved,0
P00158,2025-06-26 01:20:12,LinkedIn,South Africa,Twi,Loan Application,0.52,Positive,Medium,Fear,1362,642,675,High,fast process,0
P00159,2025-05-25 12:22:05,Instagram,Botswana,Swahili,Savings Product,-0.52,Negative,Medium,Disgust,1820,500,81,High,hidden fees,0
P00160,2025-04-25 04:38:46,TikTok,Zambia,Twi,Savings Product,0.46,Positive,Medium,Joy,2663,369,517,Medium,fast process,1
P00161,2025-07-25 08:09:28,Twitter,Botswana,English,Loan Application,-0.26,Negative,Low,Trust,2938,1109,66,High,high interest,0
P00162,2025-05-25 07:27:37,LinkedIn,Tanzania,Twi,Savings Product,0.26,Positive,Low,Trust,1273,786,237,Low,great rates,1
P00163,2025-04-19 13:20:28,LinkedIn,Tanzania,English,Loan Application,0.27,Positive,Low,Surprise,3326,738,583,High,excellent service,0
P00164,2025-04-12 07:01:32,Facebook,Zambia,Swahili,Loan Application,0.07,Positive,Low,Anticipation,3659,949,606,Medium,fast process,0
P00165,2025-03-15 14:06:31,Twitter,Tanzania,English,Customer Support,-0.82,Negative,High,Anticipation,2945,521,325,Low,slow approval,0
P00166,2025-02-27 20:40:21,Instagram,Botswana,Spanish,Repayment,0.67,Positive,High,Disgust,3018,488,589,High,loan approved,0
P00167,2025-05-10 22:33:52,Instagram,Colombia,Twi,Savings Product,-0.36,Negative,Medium,Trust,1131,396,66,High,slow approval,0
P00168,2025-05-07 19:57:01,TikTok,Colombia,English,Savings Product,-0.63,Negative,Medium,Sadness,4763,895,175,Low,hidden fees,0
P00169,2025-02-18 15:40:06,TikTok,Botswana,English,Interest Rates,-0.92,Negative,High,Disgust,2636,354,683,Medium,hidden fees,0
P00170,2025-06-27 18:12:00,Facebook,Colombia,Swahili,Loan Application,0.18,Positive,Low,Trust,3029,946,477,High,helpful staff,0
P00171,2025-02-10 03:34:41,Twitter,Mexico,Twi,Loan Application,0.36,Positive,Medium,Fear,3019,287,254,Medium,helpful staff,0
P00172,2025-07-18 05:01:49,Instagram,South Africa,English,Savings Product,-0.97,Negative,High,Fear,4377,997,62,High,fraud,0
P00173,2025-02-22 07:00:07,Twitter,Tanzania,Swahili,Repayment,0.02,Neutral,Low,Trust,3159,535,402,High,repayment,0
P00174,2025-03-02 16:17:31,Facebook,Tanzania,Twi,Mobile App,-0.55,Negative,Medium,Trust,253,850,757,Low,slow approval,0
P00175,2025-06-02 20:06:37,Twitter,Tanzania,English,Loan Application,0.29,Positive,Low,Fear,328,837,191,High,helpful staff,0
P00176,2025-03-04 01:34:12,Twitter,Colombia,English,Mobile App,-0.65,Negative,Medium,Joy,2591,167,328,Medium,hidden fees,0
P00177,2025-07-04 19:21:26,Twitter,Colombia,Twi,Interest Rates,0.38,Positive,Medium,Trust,2830,949,70,Medium,excellent service,0
P00178,2025-06-13 03:16:20,Facebook,Botswana,Spanish,Savings Product,-0.23,Negative,Low,Joy,3044,620,740,Low,bad service,0
P00179,2025-04-23 23:24:28,Facebook,Colombia,Twi,Customer Support,0.87,Positive,High,Trust,1420,427,62,High,loan approved,0
P00180,2025-05-27 19:28:03,Facebook,Botswana,Twi,Loan Application,-0.72,Negative,High,Disgust,3401,489,296,High,slow approval,1
P00181,2025-02-13 08:03:38,Instagram,Zambia,Spanish,Savings Product,-0.32,Negative,Low,Anticipation,2892,354,244,High,slow approval,0
P00182,2025-04-16 17:08:44,LinkedIn,Zambia,English,Savings Product,-0.77,Negative,High,Anger,654,195,518,Medium,hidden fees,0
P00183,2025-04-16 02:28:29,Twitter,Tanzania,Twi,Interest Rates,0.85,Positive,High,Fear,759,544,392,Low,excellent service,0
P00184,2025-05-27 17:02:28,TikTok,Ghana,Spanish,Loan Application,0.75,Positive,High,Fear,1798,716,771,Medium,excellent service,0
P00185,2025-05-02 21:16:14,TikTok,Botswana,Spanish,Savings Product,-0.48,Negative,Medium,Joy,2971,823,600,Low,fraud,0
P00186,2025-05-14 17:51:05,LinkedIn,South Africa,Swahili,Repayment,0.32,Positive,Low,Fear,4511,931,176,High,excellent service,1
P00187,2025-03-21 19:40:28,Twitter,Colombia,English,Customer Support,0.63,Positive,Medium,Joy,3426,1002,203,Low,great rates,0
P00188,2025-05-19 10:13:10,Twitter,South Africa,Twi,Customer Support,0.11,Positive,Low,Fear,254,658,645,Medium,great rates,0
P00189,2025-07-18 03:31:26,Twitter,Tanzania,Spanish,Mobile App,0.06,Positive,Low,Fear,3823,938,593,Medium,excellent service,0
P00190,2025-02-03 05:30:19,Facebook,Colombia,English,Savings Product,-0.52,Negative,Medium,Surprise,1876,779,532,Medium,fraud,0
P00191,2025-06-13 02:21:01,Instagram,Mexico,Swahili,Loan Application,-0.81,Negative,High,Anticipation,2757,10,127,Medium,high interest,0
P00192,2025-06-20 22:48:25,Facebook,Colombia,Twi,Interest Rates,0.79,Positive,High,Sadness,2624,395,194,Low,excellent service,0
P00193,2025-02-23 05:50:59,Twitter,South Africa,Spanish,Savings Product,0.8,Positive,High,Sadness,4995,730,193,Low,fast process,0
P00194,2025-06-13 09:00:02,LinkedIn,Mexico,Swahili,Customer Support,0.27,Positive,Low,Anger,4121,408,183,Medium,loan approved,0
P00195,2025-07-22 19:24:46,Twitter,Botswana,Swahili,Customer Support,-0.32,Negative,Low,Anger,3004,361,246,Medium,slow approval,1
P00196,2025-05-16 06:27:47,Twitter,Tanzania,Swahili,Customer Support,-0.3,Negative,Low,Anticipation,4516,1026,323,Medium,hidden fees,1
